"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"18",0.069877803,0.068620101,0.074053213,0.069897801,0.083109006,0.089642301,0.076748103,0.065671802,0.065304704,0.078837402,0.072014101,0.078880206,0.075753003,0.0864731,0.079925999,0.068719998,0.066573903,0.072655804,0.071046904,0.0751957,0.074440598,0.076526299,0.091067903,0.067818299,0.069141999,0.0723719,0.070034198,0.069805905,0.0767961,0.079588801,0.072228506,0.070808396,0.078604504,0.093835697,0.065682396,0.073953301,0.069261804,0.073137,0.073346302
"19",0.0867415,0.084941201,0.091310002,0.086347513,0.102617003,0.110254005,0.095048599,0.081405297,0.080738798,0.097269401,0.089094505,0.097807012,0.093632802,0.106532998,0.09911,0.084867105,0.0823275,0.089517996,0.087630913,0.092893198,0.091998897,0.094512507,0.112409003,0.083937801,0.086025804,0.090245597,0.086130001,0.086173698,0.094998106,0.098285101,0.089721203,0.087633699,0.096871704,0.115472004,0.081139304,0.091981605,0.0864112,0.0909191,0.091195807
"20",0.105875,0.103367001,0.110907003,0.104736999,0.124291003,0.133064002,0.115624003,0.099188,0.098184004,0.117872,0.108307004,0.119286001,0.113504,0.128766999,0.120846003,0.102972001,0.100055002,0.108521,0.106235005,0.112731002,0.111629002,0.114634998,0.135993004,0.102111004,0.104906,0.110169001,0.104336999,0.104643002,0.115354002,0.119157001,0.109483004,0.106590003,0.117146999,0.139163002,0.098643407,0.112100005,0.105595,0.110739,0.111083001
"21",0.12664701,0.123281002,0.132100001,0.124389999,0.147175997,0.157007009,0.137694001,0.11846,0.117085002,0.139802009,0.128955007,0.142533004,0.134543002,0.152170002,0.144312009,0.122386001,0.119158,0.129000008,0.126184002,0.133947,0.132561997,0.136097997,0.160682008,0.121729001,0.125062004,0.131304011,0.124063,0.124589004,0.137047008,0.141341999,0.130811006,0.127011001,0.138570011,0.163674995,0.117654003,0.133481011,0.126069009,0.13178201,0.132184997
"22",0.148072004,0.143757001,0.153764009,0.144355997,0.169959009,0.180630997,0.160099,0.138365999,0.136601001,0.161874011,0.150024012,0.166309997,0.155623004,0.175379008,0.168228999,0.142197996,0.138775006,0.149965003,0.14650701,0.155450001,0.153705001,0.157775,0.184945002,0.141886011,0.145466998,0.152474999,0.144400999,0.145084009,0.158919007,0.163627997,0.152646005,0.147922009,0.159977004,0.187426999,0.137337998,0.154955998,0.146767005,0.152903005,0.153355002
"23",0.168945,0.163688004,0.174583003,0.163551003,0.191176996,0.202345997,0.181481004,0.157865003,0.155727997,0.18275401,0.17033501,0.189113006,0.17549701,0.196893007,0.191069007,0.161345005,0.157891005,0.170248002,0.166079,0.175988004,0.173809007,0.178388998,0.207118005,0.161517009,0.16494,0.172360003,0.164262012,0.165022001,0.179646,0.184649006,0.173730001,0.168161005,0.180077001,0.208765,0.156686008,0.175208002,0.166472003,0.172804996,0.173297003
"24",0.187782004,0.181711003,0.193048999,0.180699006,0.209212005,0.220457003,0.20025,0.175659999,0.173213005,0.200919002,0.188474,0.20915401,0.192761004,0.215073004,0.211034,0.178558007,0.175260007,0.188438997,0.183566004,0.194099009,0.191434011,0.196471006,0.225435004,0.179308996,0.182109013,0.189480007,0.182291999,0.183042005,0.197710007,0.202857003,0.192541003,0.186319008,0.19743301,0.226017997,0.174419999,0.19274801,0.183775008,0.190026,0.190548003
"25",0.20311901,0.196490005,0.207755998,0.194573998,0.222645998,0.233547002,0.214910999,0.190442011,0.187809005,0.214984,0.203066006,0.224748999,0.20614101,0.228512004,0.226444006,0.192610011,0.189639002,0.203151003,0.197696999,0.208408996,0.20525901,0.210663006,0.238431007,0.193952009,0.195702001,0.202529997,0.19714801,0.197806999,0.211719006,0.216858,0.207590997,0.201010004,0.210755005,0.237871006,0.189266011,0.206245005,0.19738701,0.203264996,0.203804001
"26",0.213689998,0.206879005,0.217556998,0.204153001,0.230447009,0.240656003,0.224265009,0.201066002,0.198428005,0.223882005,0.212953001,0.234544009,0.214640006,0.236208007,0.235973001,0.202469006,0.199947,0.213211,0.207424998,0.217810005,0.214250997,0.21988301,0.245113,0.204292998,0.204720005,0.210563004,0.207668006,0.208169997,0.220586002,0.225582004,0.217620999,0.211061001,0.219076008,0.243528008,0.200117007,0.214699,0.20630601,0.211560011,0.212099001
"27",0.218781009,0.212256998,0.221871004,0.208931997,0.232267007,0.241568998,0.227740005,0.206883997,0.20446901,0.227180004,0.21752201,0.237894997,0.217844009,0.237856999,0.239015996,0.207607001,0.205584005,0.217999011,0.212227002,0.221782997,0.21796301,0.223645002,0.24526,0.209662005,0.208744004,0.213284001,0.213204011,0.213507012,0.223847002,0.228604004,0.221943006,0.215847999,0.222032011,0.242953002,0.206353009,0.217749,0.210122004,0.214579999,0.215094
"28",0.218601003,0.212872997,0.221014008,0.209238008,0.22873801,0.237067997,0.225729004,0.208101004,0.206144005,0.225377008,0.21706,0.235207006,0.216222003,0.234134004,0.23602201,0.208324,0.206779003,0.217800006,0.212434009,0.220733002,0.216846004,0.222387001,0.23966901,0.210244,0.208223,0.211317003,0.213972002,0.21405901,0.221965,0.226442009,0.220810011,0.215659007,0.220167011,0.237090006,0.208182007,0.215957001,0.209313005,0.212910011,0.213362008
"29",0.214401007,0.209940001,0.216307998,0.20630601,0.221482009,0.228895009,0.219657004,0.205871001,0.20457001,0.219957009,0.212847009,0.228001997,0.211181,0.226694003,0.228556007,0.205831006,0.204683006,0.213909,0.209302008,0.216057003,0.212283,0.217538998,0.230145007,0.207195997,0.204520002,0.206211001,0.211163998,0.211040005,0.216399997,0.220613003,0.215530008,0.211792007,0.21495001,0.227807999,0.206731007,0.21082601,0.205285996,0.208059996,0.208407
"30",0.208290011,0.205449998,0.209903002,0.202087,0.212870002,0.219485998,0.211761996,0.202110007,0.201590002,0.213166997,0.206981003,0.218695998,0.204834998,0.21791701,0.219059005,0.202048004,0.201196,0.208430007,0.204797998,0.209931999,0.206368998,0.211300001,0.219218999,0.202481002,0.199683011,0.200172007,0.206760004,0.206456006,0.209380999,0.213395998,0.208297998,0.206354007,0.208543003,0.217604011,0.203849003,0.20456101,0.200135008,0.202206001,0.202406004
"31",0.20277001,0.201737002,0.204327002,0.198814005,0.205495,0.211430997,0.204608008,0.199064001,0.199364007,0.207523003,0.201912999,0.210072011,0.199559003,0.210390002,0.210330009,0.199184999,0.198523,0.203831002,0.201177999,0.204843998,0.201444,0.206164002,0.20961301,0.198445007,0.195984006,0.195580006,0.203096002,0.202654004,0.203418002,0.207330003,0.201707006,0.201799005,0.203324005,0.209066004,0.201707006,0.199576005,0.196186006,0.197713003,0.19773601
"32",0.200019002,0.200781003,0.201763004,0.198346004,0.201463997,0.206796005,0.200355008,0.198648006,0.199713007,0.205092996,0.199733004,0.204502001,0.197301,0.206197008,0.204733998,0.19907701,0.198533013,0.20220001,0.20031701,0.202867001,0.199427009,0.204197004,0.203508005,0.197112009,0.195268005,0.194314003,0.202164009,0.201632008,0.20059301,0.204500005,0.198001996,0.200213,0.201214999,0.204190001,0.202123001,0.197817996,0.19532001,0.196465001,0.196291998
"33",0.201435998,0.203800008,0.203573003,0.201773003,0.202004999,0.206732005,0.200341001,0.202029005,0.203741997,0.207080007,0.201738998,0.203487009,0.199200004,0.206530005,0.203747004,0.202803001,0.202341005,0.204815999,0.20333001,0.205234006,0.201450005,0.206615001,0.202159002,0.199759007,0.198589012,0.197411999,0.205197006,0.204618007,0.202146009,0.206121996,0.198623002,0.202868,0.203295007,0.204021007,0.206207007,0.200389996,0.198614001,0.199510008,0.199136004
"34",0.207338005,0.210984007,0.210003003,0.209211007,0.207235008,0.211282998,0.204841003,0.209389001,0.211593002,0.213584006,0.208164006,0.207369998,0.205364004,0.211472005,0.207679003,0.210460007,0.210086003,0.211879,0.210344002,0.212087005,0.207626,0.213529006,0.205684006,0.206634998,0.206014007,0.204883009,0.212399006,0.211808011,0.208231002,0.212298006,0.203902006,0.209959,0.209615007,0.208497003,0.214099005,0.207350999,0.206127003,0.206873,0.206302002
"35",0.217243999,0.221784011,0.220466003,0.22009401,0.216481,0.219738007,0.213367999,0.220220998,0.222744003,0.223916009,0.218462005,0.21563001,0.215204999,0.220334008,0.215984002,0.221469,0.22122401,0.222803012,0.220801011,0.222771004,0.217376009,0.224248007,0.21339801,0.217243001,0.216940999,0.216050997,0.223231003,0.222654,0.218218997,0.222342998,0.213339999,0.220895007,0.219521999,0.216818005,0.225269005,0.218043998,0.217234001,0.217885002,0.217129007
"36",0.230301008,0.235334009,0.233988002,0.233592004,0.228754997,0.231103003,0.225116998,0.233737007,0.236413002,0.237057999,0.231746003,0.227353007,0.227869004,0.232130006,0.227733001,0.235005006,0.234953001,0.236657009,0.233895004,0.236301005,0.229872003,0.237764999,0.224310011,0.230765998,0.230532005,0.229997009,0.236831009,0.236284003,0.231151,0.235250011,0.22605601,0.234741002,0.232118011,0.22793901,0.238935009,0.231535003,0.231055006,0.231634006,0.23071301
"37",0.245671004,0.250808001,0.249605,0.248940006,0.243138999,0.244492009,0.239323005,0.249207005,0.25188002,0.252068996,0.247149006,0.241641998,0.24258101,0.245975003,0.242028996,0.250328004,0.250533998,0.252532005,0.248895004,0.251744002,0.244374007,0.253134996,0.237521008,0.246406004,0.246057004,0.245922998,0.252371997,0.251863003,0.246122003,0.250090003,0.241176009,0.250588,0.246614009,0.240974009,0.254391015,0.247006997,0.246819004,0.247327998,0.246262997
"38",0.262980998,0.267875999,0.266874015,0.265878022,0.259223014,0.259561002,0.255690008,0.266378999,0.268916011,0.268536001,0.264293998,0.258087009,0.259059012,0.261507004,0.258471012,0.267206997,0.267717004,0.270003021,0.265561014,0.268674999,0.260637015,0.269929022,0.252645016,0.263837993,0.263285011,0.26354602,0.269511014,0.269053012,0.262726992,0.266452998,0.258300006,0.268011004,0.262749016,0.255598009,0.271423012,0.264149994,0.264268011,0.264699996,0.263505012
"39",0.282490015,0.286853015,0.286033005,0.284777999,0.277225018,0.276594013,0.274514019,0.285634995,0.287919015,0.286700994,0.283439994,0.276895016,0.277647018,0.279000014,0.277291,0.286052018,0.286895007,0.289305001,0.284278005,0.287336022,0.279027998,0.288386017,0.269903004,0.283378005,0.282600999,0.283195019,0.288560003,0.288156003,0.281193018,0.284582019,0.277671993,0.287241995,0.280888021,0.272125006,0.290455997,0.283262998,0.283763021,0.284092009,0.282780021
"40",0.305202007,0.308802009,0.308109999,0.306742013,0.298085004,0.296552002,0.296748996,0.308100015,0.310012013,0.30754301,0.305613995,0.298976004,0.299406022,0.299409002,0.299390018,0.307994008,0.309202999,0.311426014,0.306143016,0.308719009,0.300603002,0.309493005,0.290179014,0.306111991,0.305077016,0.305838019,0.310578018,0.310238004,0.302469999,0.305454016,0.300294995,0.309280008,0.302103996,0.291545004,0.312628001,0.305306017,0.306315005,0.306501001,0.305087
"41",0.332612991,0.335292011,0.334645003,0.33337,0.323200017,0.320785016,0.323772997,0.335377008,0.336800992,0.332524002,0.332363009,0.325635016,0.325845003,0.324102014,0.326059014,0.334630996,0.336268991,0.337891996,0.332707018,0.334329993,0.326838017,0.334735006,0.31476,0.33366701,0.332174003,0.33278501,0.337143004,0.336881995,0.328009993,0.330516994,0.327691019,0.335666001,0.327903003,0.315234005,0.339538991,0.331620008,0.333319008,0.333290994,0.331800997
"42",0.365996003,0.367711008,0.366986006,0.366043001,0.353790998,0.350403011,0.356707007,0.368843019,0.36965701,0.362939,0.365060002,0.357906014,0.358252019,0.354222,0.358271003,0.367316008,0.369487017,0.370097995,0.365272999,0.365523994,0.358943015,0.365436018,0.344698995,0.36747402,0.365024,0.364978999,0.36964801,0.369493008,0.359111995,0.361045003,0.36117202,0.367807001,0.359538019,0.344316006,0.372521996,0.363238007,0.365840018,0.365474999,0.363968015
"43",0.405634016,0.406480998,0.405501008,0.405156016,0.390217006,0.385632008,0.395714015,0.408849001,0.408973008,0.399221003,0.404123008,0.395852,0.396945,0.390027016,0.396028996,0.406406999,0.409240007,0.408561021,0.404175997,0.402772993,0.397168994,0.402056009,0.380195022,0.407955021,0.403717011,0.402341008,0.408524007,0.408507019,0.396214008,0.39743802,0.401053995,0.406222016,0.397287995,0.379031003,0.411913007,0.400225013,0.403926015,0.403048992,0.401628017
"44",0.449834019,0.450074017,0.448612005,0.449138016,0.431069016,0.425006002,0.43909201,0.453730017,0.453184992,0.440017015,0.448007017,0.437723011,0.440335006,0.430057019,0.437532008,0.450314999,0.453920007,0.451894015,0.447845012,0.444728017,0.439923018,0.443268001,0.419787019,0.453481019,0.446449012,0.442983001,0.452253997,0.452387005,0.437947005,0.438313007,0.445639998,0.449524999,0.439588994,0.417932004,0.456110001,0.440896004,0.445787996,0.444196999,0.442992002
"45",0.494549006,0.494606018,0.492406011,0.494053006,0.472734004,0.465028018,0.482933998,0.49940902,0.498376012,0.481748998,0.492745012,0.479618013,0.484508008,0.470764995,0.478871018,0.495103002,0.499483019,0.496253997,0.49239102,0.487709016,0.483384013,0.485458016,0.45995301,0.49989,0.489216,0.482998997,0.496931016,0.497191995,0.480666012,0.480069995,0.490796,0.493888021,0.482639998,0.457540005,0.501168013,0.481514007,0.487524003,0.485029995,0.484165996
"46",0.533968985,0.534385979,0.531234026,0.534219027,0.509871006,0.500669003,0.521688998,0.540023983,0.53887403,0.519073009,0.532514036,0.516077995,0.523824036,0.507000983,0.514640987,0.535107017,0.540099025,0.535862982,0.532212019,0.526176989,0.522105992,0.523200035,0.495608002,0.541114986,0.526508987,0.517131031,0.536832035,0.537147999,0.51889503,0.517358005,0.530553997,0.533519983,0.520960987,0.492841005,0.541432023,0.516855001,0.523757994,0.520237982,0.519811034
"47",0.561904013,0.563242018,0.559010983,0.563557982,0.53659898,0.526468992,0.549501002,0.569379032,0.568607986,0.546060026,0.560999036,0.541346014,0.552286029,0.533151031,0.539207995,0.564289987,0.569572985,0.564314008,0.561329007,0.553970039,0.550320029,0.550469995,0.521203995,0.570677996,0.552673995,0.540058017,0.56576103,0.565999031,0.546550035,0.544268012,0.55854702,0.56200403,0.548704982,0.518409014,0.570865035,0.541455984,0.548946023,0.544382989,0.544427991
"48",0.573897004,0.576618016,0.571282029,0.577675998,0.54846102,0.538334012,0.562166035,0.583055019,0.58315599,0.558139026,0.573550999,0.551290989,0.565558016,0.544965982,0.548581004,0.578289986,0.583440006,0.576687992,0.575394988,0.566331029,0.563863993,0.562593997,0.532564998,0.583904982,0.563856006,0.548227012,0.579142034,0.579145014,0.558955014,0.55627501,0.570197999,0.574432015,0.56161499,0.53017801,0.585089028,0.551452994,0.559258997,0.553768992,0.554252982
"49",0.568597019,0.572966039,0.566587985,0.575200021,0.543757021,0.534702003,0.55843699,0.579759002,0.581075013,0.553484023,0.568619013,0.544631004,0.562296033,0.540827036,0.541597009,0.575729012,0.580340028,0.571126997,0.573010027,0.561383009,0.561443031,0.557699025,0.528110027,0.579409003,0.559140027,0.540924013,0.575411022,0.575044036,0.554298997,0.551603019,0.564137995,0.568949997,0.558299005,0.526610017,0.582683027,0.545717001,0.553736985,0.547533035,0.54837203
"50",0.548178017,0.554205,0.546936989,0.558149993,0.524138987,0.517028987,0.540381014,0.561689019,0.564303994,0.533612013,0.548251033,0.523352027,0.544561028,0.522243023,0.520283997,0.558601022,0.562385023,0.549494028,0.556111038,0.540757,0.544982016,0.537330985,0.509375036,0.559500039,0.540794015,0.520464003,0.556488037,0.555691004,0.534233987,0.531803012,0.542654991,0.547405005,0.540627003,0.509177983,0.565581024,0.526187003,0.534545004,0.527889013,0.52897799
"51",0.517499983,0.524953008,0.517045021,0.531138003,0.494004011,0.489223003,0.512611985,0.533654034,0.537379026,0.502813995,0.51730901,0.49199301,0.517004013,0.493279994,0.489149004,0.531471014,0.534344018,0.516687036,0.529227018,0.509002984,0.518893003,0.505886018,0.480466008,0.529295981,0.513423026,0.491369009,0.527016997,0.525816023,0.503279984,0.50117898,0.510819018,0.514681995,0.513006985,0.481782019,0.538312018,0.497196019,0.506181002,0.499329001,0.500569999
"52",0.482455999,0.490938008,0.482738018,0.499724001,0.458986998,0.456324995,0.480715007,0.501394987,0.505825996,0.466684997,0.481786996,0.456140995,0.485258996,0.459186018,0.453684002,0.499853015,0.501941979,0.47894001,0.497875005,0.47202301,0.488518,0.469094008,0.446672022,0.494933009,0.482381999,0.458914995,0.492749006,0.491259009,0.467286021,0.465317011,0.474757999,0.477010012,0.480879009,0.449427009,0.506395996,0.464031011,0.473976016,0.467135012,0.468447
"53",0.448245019,0.45728001,0.449207008,0.468771011,0.424272001,0.423023999,0.449580014,0.469861001,0.474525005,0.430452019,0.447008997,0.420814008,0.454228014,0.424840003,0.418792009,0.468578011,0.470154017,0.441932023,0.466901004,0.435279995,0.458530009,0.432296008,0.412894011,0.461695015,0.45222801,0.427602023,0.458824992,0.457206011,0.431643009,0.429415017,0.439823002,0.440063,0.449057996,0.416741997,0.474709004,0.431373,0.442544013,0.435845017,0.437173009
"54",0.418004006,0.42712602,0.41959402,0.441163003,0.393188,0.392412007,0.422085017,0.441927999,0.446419001,0.39756301,0.416234016,0.389182001,0.426808,0.393460006,0.387540996,0.440539002,0.441922009,0.409265012,0.439218014,0.402327001,0.431722999,0.399013996,0.382335007,0.43267101,0.425573021,0.400038004,0.428421021,0.426833004,0.399812996,0.396879017,0.409211993,0.407426,0.420486003,0.386767,0.446216017,0.402126998,0.414620012,0.408120006,0.409435004
"55",0.392596006,0.401412994,0.394731015,0.417623997,0.366861016,0.365678996,0.398914009,0.418251008,0.422318012,0.369310021,0.390393019,0.362298012,0.403696001,0.366254002,0.360935003,0.416500002,0.417970002,0.382060021,0.415585995,0.374406993,0.408796996,0.370544016,0.356140018,0.408555001,0.402970016,0.376823008,0.402503014,0.401058018,0.372958004,0.36895901,0.383767009,0.380232006,0.396013021,0.360642999,0.421752006,0.37719202,0.390899003,0.384608001,0.385886014
"56",0.371160001,0.379370004,0.373663008,0.397248,0.34463501,0.34245801,0.379052013,0.397814006,0.401388019,0.345214009,0.368630022,0.339561015,0.383895993,0.342799008,0.338360012,0.395609021,0.397341013,0.359466016,0.395113021,0.350890011,0.38884002,0.346365005,0.33377701,0.388256997,0.383430004,0.357058018,0.380317003,0.379069,0.350385994,0.345145017,0.362549007,0.357647002,0.374864012,0.337958008,0.400512993,0.355888009,0.37054202,0.364444017,0.365651011
"57",0.351962,0.359349996,0.354541004,0.378316015,0.32487601,0.321494997,0.360637009,0.378794014,0.381970018,0.323814005,0.34918502,0.319487005,0.365595996,0.321763009,0.318345994,0.376212001,0.378261,0.33961001,0.376076013,0.330127001,0.370133013,0.324955016,0.313774019,0.369837999,0.365225017,0.339096993,0.360217005,0.359156996,0.33039102,0.323951006,0.343735993,0.337799013,0.355421007,0.317436993,0.380852014,0.336701006,0.351918012,0.345999002,0.347088993
