"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"23",-35921,-31200,-32295,-12795,-25236,-12277,-20216,-10057,-20698,-13728,-26499,-7094.1,-27492,-18217,-26697,-28451,-15518,-20399,-12949,-13681,-16967,-10276,-7191,-16421,-18425,-10240,-13433,-14710,-18231,-16956,-25825,-9032.1,-26710,-15919,-2287.3,-26298,-7641.7,-19581,-20178,-25773
"24",-7372.7,-35990,-36818,-10073,-24361,-11216,-23982,-9236.8,-26143,-15252,-22531,-19013,-26311,-20450,-23597,-26024,-3389.3,-15989,-13386,-14767,-17244,-9895.2,-6891.3,-15797,-18380,-10804,-13895,-15604,-18057,-16932,-26614,-8592.7,-26022,-15295,-1113.2,-26903,-9000.6,-19337,-20651,-24848
"25",-36094,-30585,-32102,-13496,-25369,-12374,-19832,-9975.9,-20983,-13228,-28401,-8031.5,-28343,-17592,-27063,-29339,-16072,-19687,-13918,-13708,-17197,-10488,-6665.9,-16656,-18134,-10048,-13442,-15302,-18208,-17246,-26057,-8421.4,-26535,-15703,-2032.7,-26537,-7743.1,-19556,-20288,-26164
"26",-7832.4,-36399,-36848,-9579.7,-25181,-12392,-22951,-9721.9,-26220,-15308,-22499,-19763,-26547,-20757,-23380,-26168,-3317.2,-16435,-13082,-15205,-17025,-10391,-6882.3,-15675,-18375,-10768,-14035,-15464,-18263,-17138,-27026,-8421.4,-26243,-15824,-1284.5,-26895,-9065.9,-19132,-20714,-25356
"27",-35830,-30631,-32165,-13528,-24774,-13512,-19873,-9945.4,-21135,-13456,-26997,-7855.8,-28533,-18390,-26510,-29454,-15207,-19727,-12521,-13839,-17246,-10427,-6641.1,-16548,-18186,-10358,-13609,-15213,-18172,-17878,-25803,-8486.8,-26781,-16018,-2476.6,-26651,-7837.7,-19527,-20255,-26621
"28",-8528.3,-36259,-36455,-9753.2,-24932,-12007,-23853,-10258,-26456,-15712,-22402,-20917,-26903,-20274,-23482,-25929,-2077.7,-16469,-12475,-14875,-17147,-10231,-7087.3,-15675,-18287,-10866,-13778,-15581,-18019,-17730,-26625,-8302,-26519,-15592,-1615.8,-27274,-9027.6,-19272,-20807,-25171
"29",-35837,-31111,-33057,-12989,-25134,-12996,-19957,-9346,-20742,-13805,-27838,-7157.2,-29663,-18570,-26999,-28983,-14900,-19734,-13839,-13528,-17113,-10833,-6280.6,-16230,-18154,-10222,-13176,-15291,-18184,-17874,-25589,-8387.6,-27164,-15732,-2136.3,-26961,-7191,-19243,-20426,-25963
"30",-8241.3,-35931,-36272,-9219.2,-24441,-11243,-22946,-10913,-26278,-14558,-21422,-20710,-26301,-20770,-24919,-26720,-1205.6,-15630,-12457,-14846,-17174,-10688,-6336.9,-15590,-18468,-10568,-14170,-15655,-17906,-17072,-26438,-8223.1,-26377,-15603,-1433.2,-26913,-8004.5,-19141,-20705,-24767
"31",-35385,-31525,-33123,-11840,-24817,-12753,-20338,-10837,-21011,-13976,-26157,-7073.8,-29397,-18982,-26583,-29501,-14501,-19457,-13580,-13692,-17109,-11164,-6025.9,-16291,-18499,-9754,-13810,-15530,-18001,-17170,-25521,-8471,-26489,-15914,-2882.3,-26265,-6843.9,-19173,-19939,-25694
"32",-8000,-37224,-36912,-10303,-25872,-10862,-24137,-9071.7,-26212,-15101,-21555,-20892,-27467,-21877,-24068,-24955,-1944.8,-15887,-12638,-14508,-17122,-10531,-5998.9,-15639,-18519,-10638,-14143,-15670,-18035,-17182,-26145,-8662.5,-26088,-15405,-1496.3,-26497,-8155.5,-18837,-20192,-24658
"33",-35037,-32046,-33417,-12572,-24667,-12273,-19939,-10189,-20439,-13834,-26592,-6943.1,-29331,-18377,-26565,-28135,-14614,-19707,-13855,-13052,-16554,-10513,-5685.6,-16561,-18123,-10066,-13501,-15172,-18429,-17640,-25595,-8779.7,-26743,-15799,-2152.1,-26121,-6785.4,-18765,-19554,-25752
"34",-9193.7,-37107,-36670,-9327.3,-24729,-11090,-23883,-10522,-26783,-14371,-21634,-20327,-26771,-19853,-24597,-26134,-2102.5,-17271,-12451,-14249,-16507,-10283,-6098,-15256,-18211,-10740,-13577,-15297,-18477,-17260,-26497,-8856.3,-26067,-15707,-1140.3,-26568,-8333.5,-18080,-20002,-24335
"35",-36696,-31937,-32488,-13307,-25093,-11576,-18748,-10690,-20216,-13776,-26634,-6670.4,-29310,-18634,-26037,-28410,-14553,-19369,-13307,-12863,-16518,-10294,-5906.5,-16264,-18051,-9934,-12917,-14806,-18607,-17782,-25999,-8933,-26461,-15770,-1994.4,-26032,-6825.9,-18594,-19817,-25610
"36",-7027.3,-37123,-36978,-9541.4,-24430,-10323,-25041,-10669,-26199,-15123,-21710,-20976,-26466,-21059,-24185,-25891,-2145.4,-17611,-10968,-14075,-16365,-10211,-6057.5,-15561,-17895,-10444,-13384,-14865,-18747,-17584,-26801,-8847.3,-25724,-15288,-1126.8,-26171,-8096.9,-18432,-20252,-24330
"37",-36152,-32010,-33051,-12379,-25161,-11515,-20246,-10479,-19822,-14193,-26745,-6636.6,-30164,-18466,-25445,-28699,-14204,-19734,-14583,-12942,-16178,-10202,-5683.4,-16721,-17810,-9910,-12581,-14900,-18986,-17942,-26078,-8622,-26133,-16007,-2111.5,-25862,-6900.3,-18553,-19903,-25656
"38",-8972.7,-36401,-36229,-10231,-24992,-9980.8,-23401,-10083,-25549,-15457,-22204,-20430,-27271,-20686,-23401,-25952,-1061.4,-16478,-12000,-14308,-16480,-10069,-6213,-15597,-18459,-10468,-13097,-15256,-18265,-17356,-26679,-8579.2,-25836,-15750,-811.27,-26530,-8709.9,-18087,-20392,-24427
"39",-35434,-32086,-33371,-11610,-25106,-12198,-18862,-9851.4,-20564,-13140,-27878,-6201.7,-29090,-18220,-26017,-27712,-14303,-18788,-14278,-13197,-16897,-10483,-6210.7,-16730,-18193,-10084,-12613,-15025,-18459,-17922,-26161,-8410.1,-26608,-15748,-1992.1,-26179,-7729.6,-18186,-19932,-25999
"40",-8068.6,-36066,-36147,-9219.2,-24562,-11367,-23637,-9539,-25483,-15829,-21828,-21708,-26512,-19197,-24473,-26305,-1726.2,-16998,-11558,-14400,-16708,-10114,-6485.6,-15475,-18208,-10730,-13122,-15390,-18616,-17412,-27085,-8689.6,-25851,-15570,-1280,-26502,-9162.8,-18204,-20665,-24536
"41",-35617,-31624,-33239,-11964,-25259,-12401,-20706,-9627.9,-19154,-13248,-26664,-6584.8,-29267,-16960,-25627,-28131,-14797,-18752,-14242,-13332,-16507,-9807.3,-6134.1,-16106,-17645,-10278,-12834,-14928,-18621,-17750,-26145,-9038.9,-26329,-15730,-2289.6,-26182,-7763.4,-18614,-20277,-25996
"42",-7911.1,-36668,-36498,-9149.3,-24986,-10697,-24406,-9892.1,-24777,-14954,-21929,-21517,-25765,-19931,-24259,-25555,-3206.8,-16460,-10416,-14747,-16829,-10051,-6557.7,-14981,-17638,-10560,-13345,-15020,-18506,-16850,-26864,-8791,-25620,-15299,-1320.6,-26979,-9223.7,-18673,-20759,-24833
"43",-36168,-31629,-33338,-11714,-24944,-11619,-19330,-8535.9,-19512,-13298,-27202,-6460.8,-29189,-18232,-25857,-27428,-14968,-18875,-15198,-13943,-16410,-10150,-6260.3,-16525,-17584,-9904,-12904,-14639,-18531,-17020,-25810,-8754.9,-25857,-15648,-2091.3,-26443,-7961.7,-18459,-20412,-26161
"44",-8061,-36310,-35883,-9444.5,-25321,-10267,-23675,-10194,-24404,-15374,-22116,-21280,-23858,-19022,-23926,-26245,-2050.7,-16784,-11130,-14772,-16439,-10213,-6720,-15500,-17884,-10250,-13386,-15022,-18463,-16852,-26148,-9074.9,-25369,-15218,-984.79,-26855,-8944.2,-18308,-20953,-24604
"45",-34687,-30654,-33021,-11344,-24621,-12417,-18375,-10253,-19502,-14296,-28016,-6330.1,-28851,-18237,-25305,-27218,-15268,-19072,-14330,-13361,-16466,-10341,-6334.6,-16466,-18231,-9988,-12937,-14984,-18603,-17368,-25395,-9063.7,-26255,-15633,-1760,-26867,-7333,-18562,-20581,-25727
"46",-6946,-35170,-35464,-9965.1,-25218,-10677,-23332,-9747.3,-26088,-14880,-22075,-21733,-25023,-19896,-24962,-26450,-2742.5,-17068,-9645.1,-14348,-16613,-10346,-6271.5,-15448,-18299,-10466,-13023,-15086,-18384,-17234,-25864,-9189.9,-25818,-15820,-439.44,-27454,-8748.2,-18531,-20696,-24305
"47",-34347,-30992,-34044,-12534,-25016,-12232,-19413,-9501,-20081,-13609,-27026,-5911,-28409,-18682,-25321,-26873,-14384,-17834,-14177,-13390,-16457,-9888.5,-5771.3,-16448,-17949,-10132,-12566,-14707,-18713,-17854,-25377,-9516.6,-26667,-15826,-1291.3,-27093,-7711.5,-18601,-20081,-25366
"48",-7746,-35601,-36424,-9938,-24892,-10398,-24094,-10288,-24513,-15202,-22006,-20786,-23898,-19032,-25417,-26984,-2314.4,-16590,-9665.4,-14731,-16771,-10179,-6206.2,-15301,-18089,-10748,-13269,-14725,-18386,-17562,-26206,-9257.5,-25742,-15941,11.268,-27088,-9397.2,-18607,-20791,-24097
"49",-34227,-31799,-34636,-12041,-25647,-12011,-18875,-9691.4,-19512,-12631,-26846,-6143.1,-28650,-17788,-25183,-28602,-14632,-19162,-14628,-13523,-16946,-10051,-5663.1,-16403,-17733,-10648,-12838,-15040,-18292,-18078,-25003,-9156.1,-25890,-16243,-1056.9,-26730,-8015.8,-19045,-20201,-25600
"50",-8109.2,-35632,-36160,-10738,-23875,-10035,-23119,-10014,-24571,-14988,-22193,-21668,-24462,-20554,-25704,-27335,-3049,-16721,-8957.7,-14616,-16811,-9951.5,-5823.1,-15657,-18055,-10956,-13417,-15233,-17665,-17482,-25652,-9140.3,-25204,-16061,-220.85,-27139,-9363.4,-18749,-20881,-24084
"51",-34662,-31007,-34286,-11603,-24845,-13269,-17869,-10220,-19581,-13755,-27105,-6494.6,-28678,-17625,-26195,-27525,-14501,-17568,-15407,-13541,-16554,-10130,-5588.7,-16703,-17981,-10592,-12816,-15091,-18071,-17724,-25248,-9413,-25902,-16325,-1239.4,-27418,-7716.1,-18776,-20392,-25092
"52",-7461.6,-36178,-36373,-10533,-25371,-11279,-23573,-10550,-25572,-15459,-22375,-21909,-24526,-19784,-25037,-26391,-2726.8,-17614,-10598,-14375,-16500,-10393,-5985.4,-15218,-18229,-10928,-13257,-14916,-17873,-17278,-25983,-9304.8,-25524,-16018,-432.68,-27743,-9063.7,-18673,-20888,-24290
"53",-34507,-33105,-35233,-12969,-25040,-12444,-20180,-10027,-20526,-12768,-26869,-6165.6,-28988,-18423,-25145,-28372,-14272,-18071,-15626,-13147,-16604,-10091,-5401.7,-16563,-18066,-10400,-13043,-14423,-18208,-17952,-25465,-9422,-26146,-16410,-1372.4,-27342,-7513.2,-19004,-20394,-25935
"54",-9366.3,-36183,-35756,-9696.9,-25589,-10772,-22649,-10822,-25270,-15597,-22758,-21875,-25102,-20602,-25611,-27527,-1717.2,-16744,-8407.9,-14614,-17061,-10249,-5723.9,-15682,-18479,-10686,-13230,-14623,-17877,-17140,-25837,-9376.9,-25943,-16264,-486.76,-27360,-9079.4,-19243,-20741,-24295
"55",-34926,-31672,-35139,-12158,-24743,-12385,-18987,-9615.2,-19980,-12660,-27286,-5728.5,-30408,-19002,-25864,-28444,-14125,-17821,-15752,-13237,-16629,-10339,-5699.2,-16762,-18380,-10706,-12793,-14672,-18278,-17724,-25118,-9579.7,-26585,-16250,-1422,-26984,-7508.7,-19506,-20469,-25427
"56",-10382,-35512,-38171,-10634,-25173,-10524,-24046,-10763,-25321,-15592,-22017,-22544,-24549,-19977,-25893,-27786,-2458.6,-16755,-9965.1,-14039,-16656,-10542,-5998.9,-15504,-18673,-11114,-13327,-14636,-17796,-17454,-26148,-9597.7,-26154,-15698,-306.48,-27291,-9262,-19144,-20940,-24170
"57",-34687,-32137,-35312,-11403,-25538,-13188,-19286,-9711.7,-20287,-13945,-28457,-5138,-29862,-17730,-25972,-28660,-13629,-17537,-15146,-13088,-16444,-10249,-5942.5,-16818,-18510,-10608,-13023,-14720,-18301,-18054,-25616,-10150,-26385,-15565,-1032.1,-26954,-7700.3,-18781,-20234,-25549
"58",-10037,-36587,-37275,-10472,-25148,-9820.8,-23931,-10824,-25798,-15367,-22206,-21568,-24495,-20317,-25395,-27029,-2014.6,-18130,-7813,-14314,-16782,-10625,-6722.3,-15054,-18249,-10856,-13233,-14949,-18217,-17610,-26258,-9922.3,-26118,-15599,-516.06,-27175,-9532.4,-18528,-20834,-24046
"59",-34667,-32858,-35441,-11256,-25185,-12863,-18979,-8574,-20907,-14583,-27470,-5649.6,-29735,-17836,-25244,-28117,-13034,-17586,-16117,-13618,-16807,-10375,-6190.4,-16304,-17967,-11016,-13039,-15175,-18639,-17922,-25904,-10141,-26621,-16023,-1886.2,-26288,-8076.6,-18251,-20764,-25699
"60",-9765.1,-37115,-36523,-10587,-25562,-10159,-24378,-10890,-24810,-15072,-22247,-22353,-25430,-19441,-24841,-27479,-3389.3,-17798,-8105.9,-14894,-17377,-10445,-6573.5,-15288,-18258,-11336,-13390,-15408,-18332,-17260,-26747,-10021,-26009,-15896,-885.63,-26555,-9363.4,-18411,-21188,-24444
"61",-34723,-33270,-34931,-10186,-24092,-13728,-19190,-9384.1,-20653,-14434,-27452,-4396.6,-30933,-18524,-24534,-27583,-14420,-18136,-16331,-13632,-16683,-10130,-6053,-16572,-17895,-10978,-12798,-15258,-18670,-17802,-26148,-10204,-26621,-16203,-1746.5,-26044,-8123.9,-18585,-20588,-25907
"62",-10042,-36927,-35566,-9834.4,-24518,-10206,-23388,-11269,-25460,-16374,-22898,-22179,-25115,-19733,-24955,-27766,-2314.4,-17884,-8446.2,-14758,-16994,-10359,-6316.6,-15227,-18402,-11444,-13102,-15134,-18321,-17248,-26655,-10085,-26283,-15962,-1018.6,-26484,-9444.5,-18195,-21296,-24170
"63",-34415,-32356,-35246,-10966,-25109,-12131,-18827,-9831.1,-20523,-14373,-27076,-5207.9,-31319,-17628,-24119,-27081,-14290,-17183,-15926,-13559,-16599,-9780.3,-5917.7,-16615,-18028,-11088,-12789,-14801,-18679,-17680,-26073,-10046,-26829,-16329,-2100.3,-26395,-7718.3,-18576,-20473,-25671
"64",-8995.6,-36320,-36419,-10679,-25646,-9886.2,-23058,-11482,-25275,-15624,-22436,-21857,-24498,-19888,-25882,-27854,-2553.2,-17735,-8588.2,-14533,-16870,-9922.3,-6510.4,-15484,-17990,-11380,-12863,-14895,-18386,-17128,-26465,-9489.6,-26456,-16165,-1219.2,-26530,-9440,-18891,-20802,-24422
"65",-32551,-33013,-34824,-10240,-26256,-13106,-18184,-10824,-20683,-13841,-27599,-3831,-31622,-18458,-24687,-26770,-13783,-17262,-16980,-13850,-16588,-9559.4,-5611.3,-16726,-17546,-10944,-12811,-14987,-18749,-17674,-26026,-9462.5,-26781,-16214,-1913.2,-26303,-7991,-18619,-20007,-25887
"66",-9947.9,-36516,-36300,-10208,-25123,-10709,-23502,-11149,-25143,-14713,-22607,-21025,-23992,-19385,-25032,-27365,-2476.6,-18220,-9241.7,-15024,-16834,-9965.1,-6127.3,-15256,-18003,-11206,-13291,-15365,-18121,-17248,-26774,-9399.4,-26156,-15946,-739.15,-26829,-9530.1,-18526,-20302,-24442
"67",-33864,-33608,-34766,-10499,-26714,-13095,-18136,-10390,-20030,-14314,-27076,-4338,-31472,-18872,-25289,-26346,-13828,-17454,-17334,-13735,-16433,-9415.2,-5408.5,-16421,-17774,-11258,-12856,-15340,-18628,-17974,-26033,-9656.3,-26545,-16061,-1498.6,-26850,-7772.4,-18290,-19869,-25557
"68",-10413,-36008,-35599,-10619,-25857,-10711,-23548,-11672,-24818,-15419,-23146,-22303,-24363,-19992,-25368,-27829,-2278.3,-17523,-8101.4,-14348,-16577,-9847.9,-5992.1,-15193,-18017,-11474,-12669,-14895,-18461,-17506,-26337,-9313.8,-25935,-15718,-676.06,-27139,-9336.3,-18269,-19856,-24150
"69",-33493,-32678,-34783,-11223,-25680,-13113,-18616,-9729.5,-19517,-12237,-27777,-4745.9,-31263,-18560,-25131,-26966,-12282,-17316,-17172,-13424,-16295,-9604.5,-5829.9,-16615,-17814,-11126,-12403,-14781,-18848,-17802,-25609,-9521.1,-26156,-15657,-1618,-26956,-7738.6,-18335,-19527,-26174
"70",-10044,-35784,-35675,-10127,-26183,-9748.7,-24010,-11708,-24424,-15083,-22801,-21379,-23619,-19337,-25285,-28588,-2553.2,-17384,-7718.3,-14459,-16523,-9836.6,-6273.8,-15168,-17985,-11272,-13037,-14918,-18425,-17158,-25810,-9102,-25595,-15218,-667.04,-27215,-9582,-18265,-20128,-24683
"71",-33694,-33427,-35573,-9433.2,-26232,-12496,-18293,-9455.2,-20348,-13061,-27531,-4121.7,-30133,-19088,-24645,-26335,-12987,-16464,-17248,-13598,-16180,-9347.6,-5703.7,-16428,-17839,-11314,-13041,-14700,-18752,-17314,-25573,-9440,-26067,-15455,-989.3,-27109,-7828.7,-18069,-19777,-25707
"72",-11037,-36155,-36706,-9956.1,-25337,-9902,-23312,-10136,-24066,-14256,-22179,-21774,-23622,-19627,-26612,-27621,-2393.2,-17623,-7229.3,-14857,-16545,-10206,-6244.5,-15135,-17965,-11458,-13512,-14707,-18024,-16884,-25936,-9153.8,-25859,-15180,-326.76,-27286,-9309.3,-17825,-20415,-23881
"73",-33790,-33133,-36399,-10650,-26030,-12205,-19032,-8607,-20546,-14064,-26337,-4160,-30443,-18390,-25118,-25557,-12575,-16390,-17467,-13625,-16034,-9832.1,-5852.4,-16482,-17947,-11194,-12669,-14717,-18488,-16982,-25474,-9304.8,-26583,-15506,-1032.1,-26783,-7770.1,-18145,-19984,-25341
"74",-10636,-35078,-36208,-9624.8,-25202,-9978.6,-22730,-11799,-25051,-14251,-22132,-20690,-23137,-19977,-26474,-27180,-2789.9,-17652,-7585.4,-14330,-16266,-9983.1,-6172.4,-15295,-17805,-11352,-12888,-15053,-18386,-16408,-26323,-8552.1,-25930,-15227,-612.96,-26890,-9383.7,-18145,-20180,-24584
"75",-32422,-33341,-35459,-10188,-25511,-12302,-19243,-9407,-22004,-12771,-26740,-4329,-31068,-18095,-24807,-26211,-12221,-16599,-17413,-13765,-15890,-9413,-5870.4,-16802,-17266,-11466,-12660,-14834,-19135,-16918,-25981,-8678.3,-26458,-15581,-1478.3,-26715,-8031.5,-18010,-19703,-25816
"76",-11139,-35954,-36287,-9971.8,-25115,-10299,-23538,-11502,-25214,-14551,-22087,-21776,-23373,-19106,-25573,-28225,-3614.6,-17758,-7598.9,-15236,-16230,-9935.8,-6170.1,-15545,-17582,-11400,-13032,-15093,-18664,-16468,-26323,-8608.5,-26047,-15671,-754.93,-26837,-9212.4,-18371,-20237,-24526
"77",-32648,-33506,-35434,-10021,-25361,-12234,-18903,-7926.3,-20866,-13532,-26664,-4256.9,-30476,-19421,-24430,-25379,-12755,-17242,-17814,-13947,-16005,-9455.8,-5791.5,-16906,-17343,-11206,-12782,-14872,-18869,-17088,-25593,-8784.2,-26494,-16063,-1473.8,-26672,-7668.7,-18472,-19899,-26177
"78",-11764,-35947,-36140,-10526,-25573,-9029.9,-24759,-10799,-23837,-14828,-22483,-21598,-23037,-20549,-25997,-28399,-2053,-18186,-6517.2,-14684,-16802,-10213,-6695.2,-15392,-17875,-11454,-13230,-14750,-18195,-16776,-25877,-8921.7,-25750,-15565,-781.97,-27088,-9047.9,-18623,-20392,-24663
